rep_a,rep_b,linear_cka,cca_top1,cca_mean3,cca_mean5,split_cca_top1,split_cca_mean3,split_cca_mean5,cca_components_a,cca_components_b
iq,ap,0.6405568323070824,1.0,0.9985581021648097,0.9807890231858222,0.9954296150299373,0.9789235871615553,0.9638136467276057,16,16
iq,fft,0.3790006146114951,0.9923736837627356,0.9625258572495589,0.8193269886113379,0.9872970238985723,0.9400687252314671,0.7094734324407177,16,16
iq,stft,0.2834811254065727,0.9780545283092343,0.8400205623928033,0.6946414936014514,0.9508372473419427,0.6808874144440037,0.4548750982138414,16,16
iq,cepstral,0.32450348941405005,0.9797550729622067,0.9184593472913924,0.7535687288296181,0.9718660907914689,0.8672896841287031,0.6206161992633611,16,16
iq,cyclo,0.28623630430261304,0.9901074365904217,0.9120378938764356,0.7753677609279566,0.963392005286941,0.6675034357691509,0.45092859733339985,16,16
iq,hos,0.27273140194790246,0.9999573205701812,0.9936511834215502,0.9865981884486532,0.9894365422520555,0.8793082471305712,0.7923989321929812,16,16
iq,bispectrum,0.25126981541412075,0.9594488309258797,0.764180552437343,0.5824527000324625,0.9494247942274737,0.6300492663348135,0.41716315756224276,16,16
ap,fft,0.6273657449935992,0.9989269458061993,0.975383190136717,0.9394408393450489,0.996156091782504,0.944600908628185,0.917275214103704,16,16
ap,stft,0.6170549496267963,0.994366494620512,0.9607320276217463,0.8911177866227142,0.9898591731146558,0.9399303113859814,0.8168118238158254,16,16
ap,cepstral,0.7361483125658843,0.9887720411266208,0.9403609509097697,0.8758142966317536,0.9740339925768129,0.928558075163902,0.8562757657175826,16,16
ap,cyclo,0.7823165655332582,0.9961887756689243,0.9651533193817037,0.8911350765099888,0.9898061011357193,0.9346329984417799,0.8341397286410803,16,16
ap,hos,0.5214909525711421,0.9930251676808889,0.9744254431569271,0.8596795292056273,0.9891806957845792,0.9476313708554157,0.8224129822317717,16,16
ap,bispectrum,0.44425907802040293,0.9734115665319109,0.846150770729293,0.6908231412763748,0.9629485129697124,0.7978194588667934,0.5886720068863854,16,16
fft,stft,0.8035492294822338,1.0,0.978521815857706,0.9470894118105029,0.9950902450427076,0.9678156234992432,0.9358297094641971,16,16
fft,cepstral,0.7652211429689961,1.0,0.9833233504222738,0.9600949094925857,0.9979765150846039,0.9774315617212053,0.9468478662297416,16,16
fft,cyclo,0.5168367262129306,0.993048423013362,0.8988783051778545,0.7749713676473775,0.9908478906595779,0.868952507496323,0.7185382826642492,16,16
fft,hos,0.35239613515556756,0.9916305732387234,0.7917046309531258,0.6600279671092869,0.9873401970370422,0.7913517099873738,0.5847209947305255,16,16
fft,bispectrum,0.5396425375751305,0.9854458919727842,0.9073389340333925,0.7502912742505515,0.9760946617685111,0.8899486329839746,0.6431505262488122,16,16
stft,cepstral,0.8633026789427894,0.9988911697139402,0.973329698457979,0.9111154768347941,0.9949742109751583,0.9706709782193684,0.8855241480997558,16,16
stft,cyclo,0.5704468598691113,0.9904628105826593,0.9762992044580888,0.9227760024035072,0.9826136465915712,0.9507461331889902,0.9173004657001528,16,16
stft,hos,0.4029404162771672,0.9838489035161283,0.9069083679618583,0.7650510636013979,0.9843528534433968,0.9065050516093788,0.7056769038523242,16,16
stft,bispectrum,0.581958347409638,0.9821866975051926,0.8835479496925848,0.7499130659860118,0.9696311233768711,0.8549199511771829,0.682068163365206,16,16
cepstral,cyclo,0.6813248347783981,0.9882146516018052,0.9255196260859302,0.7744083858722451,0.9838731831212463,0.8863733617294844,0.6757390848985855,16,16
cepstral,hos,0.4311776165222041,0.9796645324839798,0.803080394263506,0.6544382884845359,0.9472722920168688,0.5941196016242064,0.39741320880775605,16,16
cepstral,bispectrum,0.606085913116029,0.9810030914642877,0.8587449961776313,0.719100094848366,0.970123487612065,0.8382687990692399,0.6319806157891572,16,16
cyclo,hos,0.6721141713274051,0.9938570270079045,0.9796069620689156,0.9191594111150202,0.9856734903334161,0.9551855628027065,0.7907595365469839,16,16
cyclo,bispectrum,0.4108658074890311,0.9638248306285174,0.7689208556450824,0.6033854556234806,0.9492586770355267,0.6654057341734646,0.4645727677191368,16,16
hos,bispectrum,0.2943364659233473,0.9595651924953011,0.7920905811069213,0.5951819124112417,0.9542687982827571,0.7025092706620159,0.449062531507879,16,16
